kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
ba,30,0.32775991425509093,0.015257817584286348,0.3272871572871573,5.276898305661961,0.031584210460875874,0.031054687500000004,0.017051305406820448,-1.1154708563433025,-4.071469869916992,3.4011973816621555,0.005000900983145512
ba,30,0.4176415970287837,0.018245162984073193,0.39165945165945165,5.573977757041468,0.029900848896664653,0.031054687500000004,0.03715505439671068,-0.8731292432365299,-3.2926285494491423,3.4011973816621555,0.007619939006718777
ba,30,0.4192592592592593,0.014741824172762374,0.23928727046374104,5.675218941442752,0.02936744262844188,0.027226562500000002,0.07863203915080635,-0.8692634080731261,-2.542963322437261,3.4011973816621555,0.006180646282802596
ba3,30,0.25612244897959174,0.007211713004700915,0.34865800865800867,6.956048012800956,0.02395996496285768,0.0233984375,0.023998502586238007,-1.3620957281579862,-3.7297221744223856,3.4011973816621555,0.0018470815961019683
ba3,30,0.3035031847133758,0.010047221136905371,0.29165343915343916,7.34537440883552,0.02269001651790392,0.0233984375,0.030276422607111237,-1.192359880395183,-3.4973529726911945,3.4011973816621555,0.003049363612570324
ba3,30,0.27821782178217813,0.010953996360100637,0.30266344766344766,7.182357766234656,0.023205007616049392,0.0233984375,0.008266786359157917,-1.2793473462019695,-4.795388476979054,3.4011973816621555,0.0030475970071171072
ba3,30,0.2990384615384615,0.0075801427844455205,0.33326671150200565,7.242986366949161,0.023010766308658514,0.0233984375,0.016568251249318974,-1.207179735910329,-4.100206635690828,3.4011973816621555,0.002266754236502458
ba3,30,0.15067961165048538,0.005166914304599146,0.15326358826358827,6.347300438966196,0.026257882113708834,0.027226562500000002,0.035578504862344214,-1.8925928368986473,-3.3359855130204745,3.4011973816621555,0.0007785486408483371
ba3,30,0.21046931407942235,0.0067179704555269115,0.25996540496540493,6.609856707818894,0.025214868344954334,0.0233984375,0.0776304334404523,-1.5584106615557298,-2.555782863702791,3.4011973816621555,0.0014139266337805736
ba3,30,0.20904159132007227,0.006620534377707932,0.2010942760942761,6.696527111009376,0.024888522648203664,0.0233984375,0.06368310483140864,-1.5652172615584758,-2.7538202792312636,3.4011973816621555,0.0013839670417053105
ba3,30,0.2722129783693843,0.007086119896671406,0.32423513849984437,7.001473149790085,0.02380451415023474,0.0233984375,0.017354861846426255,-1.3011668367791769,-4.053824971066982,3.4011973816621555,0.001928933802155477
ws,30,0.01639344262295082,0.0006828664829721109,0.45444444444444443,4.150302895762921,0.04015771158216382,0.0387109375,0.037373780528147174,-4.1108128660337355,-3.286759119445125,3.4011973816621555,1.1194532507739525e-05
ws,30,0.028340080971659923,0.0011110109827967563,0.40555555555555556,4.16745966723256,0.039992388643161896,0.0387109375,0.03310307695756257,-3.563442902480904,-3.4080988332606945,3.4011973816621555,3.148614121286354e-05
ws,30,0.039999999999999994,0.0018791823443589095,0.2766666666666666,4.27549987483051,0.038981796642731444,0.0387109375,0.006996966754717397,-3.2188508251806955,-4.962135635731349,3.4011973816621555,7.516729377435637e-05
ws,30,0.02439024390243903,0.0012843928747323652,0.3511111111111111,4.201885064300246,0.03966473716349075,0.0387109375,0.024639022588661064,-3.7135310675447846,-3.70338322356963,3.4011973816621555,3.1326655481277205e-05
ws,30,0.020408163265306124,0.000846989366088513,0.4211111111111111,4.091046568447807,0.04073937166887398,0.0425390625,0.04230678170507452,-3.8917712993110873,-3.1627842451903554,3.4011973816621555,1.728549726711251e-05
