gtype,N,phi,lambda_max,a0_pred,rel_err,log_N,log_phi,log_err
mixed,80,0.34386755485893417,6.8501571136553085,0.024330342195280217,0.0615368726742892,4.382026634673881,-1.0674958025988053,-2.7881024778643306
er,120,0.11715905699791104,6.663410353967195,0.025012217140047265,0.007176970140522145,4.787491742782046,-2.144214270526384,-4.93673864612576
ba,120,0.4593671131819062,6.934063142779264,0.024035931492810792,0.04869168485948972,4.787491742782046,-0.7779034008402701,-3.0222264684000084
ws,120,0.020408163265306124,4.133771669943149,0.04031830492199363,0.0042798404204139745,4.787491742782046,-3.8917712993110873,-5.453605928754708
er,120,0.13826615483045426,7.29613740498002,0.02284313704850287,0.04007880540519646,4.787491742782046,-1.9785675607047648,-3.216882677377083
ba,120,0.4698648391395392,7.074770040005983,0.023557891737004885,0.07262254918881508,4.787491742782046,-0.7553080736655285,-2.6224660407556915
ws,120,0.01234567901234568,4.081590597109726,0.04083375407241662,0.006562980023125068,4.787491742782046,-4.394368157952762,-5.026158149158517
er,120,0.15235449735449733,7.213558597763921,0.023104638911276117,0.05198533747547547,4.787491742782046,-1.8815386904830267,-2.9567743357793765
ba,120,0.49358065102745935,6.9682016986808435,0.023918174856824036,0.0890267249564906,4.787491742782046,-0.7060669808512494,-2.418807441396083
ws,120,0.030303030303030304,4.317483897084365,0.038602730349317146,0.009685718434455546,4.787491742782046,-3.496474562010968,-4.636999565290917
er,120,0.1547005048437713,7.110394773853844,0.023439861212703538,0.02268503960313064,4.787491742782046,-1.8662577939535228,-3.786005539138856
ba,120,0.5422748191978961,7.895754990953606,0.021108388856749163,0.052849010418870114,4.787491742782046,-0.6119805154748288,-2.9402973695255104
ws,120,0.03323262839879154,4.181079007715763,0.03986211845294003,0.01716444789566275,4.787491742782046,-3.404193012122324,-4.064856758870078
mixed,120,0.5299056945955748,5.5034926108376645,0.03028379948007217,0.022440180194395705,4.787491742782046,-0.6350543358671036,-3.7968576063774804
mixed,120,0.3047431332655138,9.68469350106295,0.01720928665923956,0.060945787647228224,4.787491742782046,-1.1882827617805827,-2.7977541291652392
er,200,0.14528554913294797,7.2447001423269874,0.023005322979887142,0.047463349335001515,5.298317366548036,-1.9290472857609204,-3.0477763900536905
ba,200,0.5749091894822446,8.529955705164014,0.01953898383854058,0.07743238786949257,5.298317366548036,-0.5535414425888513,-2.558337223575906
ws,200,0.025578562728380022,4.253284061806729,0.03918540691022392,0.024926096386126667,5.298317366548036,-3.665961577255109,-3.691799858902723
er,200,0.15188222923238695,6.9234880272264725,0.024072644599261745,0.05029348378755753,5.298317366548036,-1.8846432821090682,-2.9898598741415676
ba,200,0.4821136063408189,7.432911470615885,0.02242279722091952,0.11840936883080701,5.298317366548036,-0.72957342070361,-2.133598985782143
ws,200,0.0196078431372549,4.152543901319009,0.040136039648786585,0.024154114076353837,5.298317366548036,-3.9317746340247814,-3.7232591583061554
er,200,0.15163260399134407,7.075837080325371,0.02355433919332167,0.027679732898465627,5.298317366548036,-1.886288168125272,-3.5870186710374687
ba,200,0.5186740331491712,7.571881529182262,0.022011261801221833,0.09788271185718293,5.298317366548036,-0.6564777322916789,-2.3239751185972533
ws,200,0.021406727828746173,4.17899328698195,0.039882013494937335,0.01767211106419647,5.298317366548036,-3.8440033086473044,-4.035710943394491
er,199,0.1347594100186851,6.933149177524573,0.024039100039410045,0.04882992907352803,5.293304824724492,-2.0042568178639293,-3.0193913743943446
ba,200,0.5593818488339419,7.96486327353248,0.02092523888269443,0.09603297217623116,5.298317366548036,-0.5809211586164769,-2.343053273278199
ws,200,0.0196078431372549,4.146642442477259,0.04019316084728487,0.0011626540379628936,5.298317366548036,-3.9317746340247814,-6.756190192095924
mixed,200,0.6172214182344429,5.751274423688191,0.028979084353931123,0.04598457432910273,5.298317366548036,-0.4825258366731218,-3.079427533217533
mixed,200,0.5526842494454031,8.562891707865628,0.01946382978469428,0.13308480306418732,5.298317366548036,-0.592966608674552,-2.0167612229500813
er,299,0.14033900383947362,7.003884840501608,0.02379631739557989,0.015702663689888548,5.700443573390687,-1.963687201799625,-4.1538612378073045
ba,300,0.594154812910597,8.781397832327855,0.01897951440636247,0.11488724658478161,5.703782474656201,-0.5206136827197839,-2.1637953919203152
ws,300,0.025578562728380022,4.170509788626898,0.03996314002695103,0.01570786109750757,5.703782474656201,-3.665961577255109,-4.153530324727147
