,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
2261,AVA,URX,11640,136192,240,76680,33240,6419,461,3530,40560,1673,3942,11,4,28597.909090909092,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2263,AVA,URY,117360,283392,186720,257760,869880,729229,7566,9287,1444320,9353,5795,11,4,356423.8181818182,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,31,4,2,17.5,0,2,no,yes,pristi_specific,0,17.5
2267,AVB,AVB,120720,544768,494760,211080,991200,855613,18592,11300,2813520,11745,12305,11,4,553236.6363636364,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,no,no,not specific,0.2,0
2269,AVB,AVD,975360,1952256,582480,1445520,2948400,3417045,22660,70335,11302800,61749,42072,11,4,2074607,9,2,no,no,core,no,core,0,0,0,0,0,0,1,1,0,0,2,2,4,1.5,2,2,no,no,not specific,0.2,2
2271,AVB,AVE,291000,760576,557040,789120,1759800,1709536,4493,37544,3986160,31334,18057,11,4,904060,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2273,AVB,AVH,1574400,2464000,1376040,1391880,3645360,3412652,47845,55269,10770480,0,0,9,2,2748658.4444444445,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2275,AVB,AVJ,1707120,3249920,2281680,2891760,7042800,5776403,79429,116408,16357680,77704,77559,11,4,3605314.8181818184,9,2,no,no,core,no,core,0,0,0,0,0,0,1,2,0,0,24,20,4,11.75,2,2,no,no,not specific,0.3,22
2277,AVB,AVK,4800,259584,44280,384360,8760,695775,755,20410,1951200,19127,6983,11,4,308730.36363636365,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,no,no,not specific,0,0.5
2279,AVB,AVL,0,0,221640,5880,0,0,0,5626,42240,0,54,5,3,55088,4,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2281,AVB,AWA,34320,243712,126000,88440,280920,671108,0,8136,128160,3523,5427,10,4,158974.6,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,8,5,2,6.5,0,2,no,yes,pristi_specific,0,6.5
2283,AVB,AWB,128640,59392,13080,2640,0,18585,217,2166,26400,102647,55745,10,4,40951.2,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,74,14,2,44,0,2,no,yes,pristi_specific,0,44
2285,AVB,AWC,0,0,0,11160,0,0,0,0,0,0,1218,2,1,6189,1,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2287,AVB,BAG,334080,451584,655440,539640,718680,71300,1972,2145,1474800,2324,2048,11,4,386728.45454545453,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2289,AVB,BDU,382080,403968,208320,375240,685080,490658,2277,9456,1638240,0,2943,10,3,419826.2,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2291,AVB,CEP,52800,58624,14640,34320,301800,8785,549,158,404880,0,0,9,2,97395.11111111111,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2293,AVB,DB,122040,150784,87960,140760,162960,0,0,0,0,0,0,5,0,132900.8,5,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
